Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
108,130,0.8150000000000001,0.037416573867739396,0.015312910079956055,0.0004003048085115577,0.0006005287170410157,0.00020017629580703662,0.05,3,10,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10}",0.825,0.775,0.775,0.875,0.825
139,132,0.8099999999999999,0.0254950975679639,0.08817586898803711,0.0032025694912557537,0.0008006572723388671,0.00040050745986134354,0.01,4,50,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 50}",0.825,0.8,0.775,0.85,0.8
48,133,0.8049999999999999,0.024494897427831765,0.00830702781677246,0.0007489144566562959,0.00050048828125,1.784161275279017e-07,0.25,1,10,"{'learning_rate': 0.25, 'max_depth': 1, 'n_estimators': 10}",0.775,0.8,0.8,0.8,0.85
114,134,0.795,0.018708286933869687,0.01791539192199707,0.0013940045711125753,0.0006005764007568359,0.00020027166321163282,0.05,4,10,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 10}",0.775,0.8,0.8,0.825,0.775
127,135,0.79,0.02999999999999998,0.04984283447265625,0.0009807858329803044,0.0007006168365478515,0.00024506751518995744,0.01,2,50,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 50}",0.775,0.775,0.775,0.775,0.85
122,135,0.79,0.03391164991562633,0.0713613510131836,0.00443777885726161,0.0005003929138183594,2.78041453115716e-07,0.01,1,100,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 100}",0.75,0.8,0.75,0.825,0.825
102,137,0.785,0.03741657386773941,0.011810207366943359,0.001888324934370468,0.0009006500244140625,0.00020010473474506765,0.05,2,10,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 10}",0.75,0.775,0.75,0.8,0.85
138,138,0.765,0.04636809247747852,0.019516849517822267,0.0012256489116919695,0.000600433349609375,0.00020010473474506765,0.01,4,10,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 10}",0.775,0.725,0.725,0.85,0.75
96,139,0.75,0.09082951062292476,0.007806825637817383,0.0004003883641512791,0.0005002021789550781,2.611744678045111e-07,0.05,1,10,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 10}",0.775,0.7,0.75,0.9,0.625
72,140,0.7449999999999999,0.06595452979136458,0.0078066825866699215,0.0006789501866739609,0.0006005287170410157,0.00020017629580703662,0.1,1,10,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 10}",0.75,0.775,0.75,0.825,0.625
132,140,0.7449999999999999,0.048476798574163295,0.01571345329284668,0.002484104514018919,0.0006005764007568359,0.00020027166321163282,0.01,3,10,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10}",0.725,0.675,0.725,0.8,0.8
